trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-61.571882068444914,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,10.597614234197476,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-56.98036676262524,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-63.26395365266625,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,20,-7.507181280552087,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,1,-45.75488535673375,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-48.510561185462535,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-67.50624068698752,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-34.6186666048748,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",30,19,-1.956754201509928,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,8,-38.60574055972602,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-18.36434741608783,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,2,-51.46076240249656,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,10.168514070842704,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,11,-16.482444850134506,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,14,-4.706231430919193,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,0,-93.33550536302147,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,0,-37.366771496196584,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-5.308124310139993,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,0,-49.05114295617271,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,10,-50.700282163486555,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,22,-3.506468565047487,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,8,-38.55178533402963,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,13,6.03365360350827,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,9,-6.816008166123916,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,15,-4.726208251622956,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,0,30.694900410595206,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,-61.238906160885335,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,3,10.177640994110536,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,16,3.412620020432455,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,9,-10.248460494987105,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,0,-13.238997008936806,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,8,3.1023279097767915,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,-101.27576400074769,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-22.42778750733972,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,0,-29.911753454440294,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,5,-12.725642718368075,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,12,17.85185036360231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,7,17.712025567332986,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,15,-65.89804011973807,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,1,-27.158834965092737,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,3,15.8162953715273,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,0,-12.852312297945122,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
